################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  1.78e+07 4265.71 | 4119.80    0.0   2883     0 |    1.43   1.42   0.12  -1.15
0  1.79e+07 4265.71 | 4120.81    0.0   2883     0 |    1.43   1.23  -0.01  -1.14
0  1.79e+07 4265.71 | 4123.96    0.0   2883     0 |    1.43   1.20   0.08  -1.15
0  1.80e+07 4265.71 | 4123.24    0.0   2883     0 |    1.43   1.25   0.01  -1.14
0  1.81e+07 4265.71 | 4120.76    0.0   2883     0 |    1.43   1.46   0.11  -1.14
0  1.82e+07 4265.71 | 4120.18    0.0   2883     0 |    1.43   1.16   0.03  -1.15
0  1.82e+07 4265.71 | 4118.94    0.0   2883     0 |    1.43   1.30   0.07  -1.16
0  1.83e+07 4265.71 | 4117.87    0.0   2883     0 |    1.43   1.20   0.17  -1.16
0  1.84e+07 4265.71 | 4119.85    0.0   2883     0 |    1.43   1.14   0.14  -1.15
0  1.85e+07 4265.71 | 4120.10    0.0   2883     0 |    1.43   1.27   0.05  -1.15
0  1.86e+07 4265.71 | 4119.67    0.0   2883     0 |    1.43   1.08   0.05  -1.15
0  1.86e+07 4265.71 | 4118.76    0.0   2883     0 |    1.43   1.20   0.05  -1.15
0  1.87e+07 4265.71 | 4115.96    0.0   2883     0 |    1.43   1.30   0.08  -1.15
0  1.88e+07 4265.71 | 4118.06    0.0   2883     0 |    1.43   1.19   0.13  -1.15
0  1.89e+07 4265.71 | 4117.70    0.0   2883     0 |    1.43   1.19   0.12  -1.15
0  1.90e+07 4265.71 | 4118.07    0.0   2883     0 |    1.43   1.22   0.15  -1.15
0  1.90e+07 4265.71 | 4115.93    0.0   2883     0 |    1.43   1.45   0.04  -1.15
0  1.91e+07 4265.71 | 4113.67    0.0   2883     0 |    1.43   1.20   0.02  -1.15
0  1.92e+07 4265.71 | 4115.76    0.0   2883     0 |    1.43   1.29   0.12  -1.17
0  1.93e+07 4265.71 | 4114.59    0.0   2883     0 |    1.43   1.22   0.07  -1.17
0  1.94e+07 4265.71 | 4101.11    0.0   2883     0 |    1.42   1.11   0.02  -1.16
0  1.94e+07 4265.71 | 4097.79    0.0   2883     0 |    1.42   1.16   0.07  -1.16
0  1.95e+07 4265.71 | 4102.26    0.0   2883     0 |    1.42   1.30   0.17  -1.15
0  1.96e+07 4265.71 | 4108.03    0.0   2883     0 |    1.42   1.37   0.08  -1.15
0  1.97e+07 4265.71 | 4108.71    0.0   2883     0 |    1.42   1.19   0.02  -1.15
0  1.98e+07 4265.71 | 4109.65    0.0   2883     0 |    1.42   1.30   0.04  -1.15
0  1.98e+07 4265.71 | 4105.06    0.0   2883     0 |    1.42   1.23   0.08  -1.15
0  1.99e+07 4265.71 | 4103.27    0.0   2883     0 |    1.42   1.24   0.08  -1.16
0  2.00e+07 4265.71 | 4105.50    0.0   2883     0 |    1.42   1.14   0.01  -1.16
0  2.01e+07 4265.71 | 4106.27    0.0   2883     0 |    1.42   1.39   0.05  -1.15
